Sentence_id,Text,Speaker,Speaker_title,Speaker_party,File_id,Length,Line_number,Sentiment,Verdict
16,I think we've seen a deterioration of values.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,16,0.0,-1
17,I think for a while as a nation we condoned those things we should have condemned.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,16,17,-0.456018,-1
18,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that's all wrong.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,29,18,-0.805547,-1
19,"So we've seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,35,19,0.698942,-1
20,"We got away, we got into this feeling that value- free education was the thing.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,15,20,0.0,-1
21,And I don't believe that at all I do believe there are fundamental rights and wrongs as far as use.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,20,21,-0.36989,-1
22,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,19,22,0.803151,-1
23,"But we've got to do a lot better on education, and we have to do, be tougher on those who commit crimes.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,22,23,0.0,-1
24,We've got to get after the users more.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,24,0.0,-1
25,We have to change this whole culture.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,7,25,0.0,-1
27,"And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,17,27,-0.220975,0
29,Everybody ought to be in this thing.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,7,29,-0.382121,-1
30,"Entertainment industry, people involved in the schools, education.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,30,0.0,-1
31,And it isn't a Republican or a Democrat or a liberal problem.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,12,31,-0.250764,-1
32,But we have got to instill values in these young people.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,32,0.0,-1
33,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,36,33,0.463963,-1
34,"But I think we're all in this together, and my plea to the American people is values in the schools.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,20,34,0.209117,-1
36,I agree with Mr. Bush that values are important.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,36,0.257669,-1
37,But it's important that our leaders demonstrate those values from the top.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,37,0.743346,-1
38,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,19,38,0.0,-1
39,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,14,39,-0.414557,1
40,We've been dealing with him; he's been dealing drugs to our kids.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,40,-0.568581,1
41,Governors like me and others have been trying to deal with the consequences.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,13,41,0.0,-1
42,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,42,42,-0.335723,0
43,We're providing that young woman with help.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,7,43,0.824474,-1
44,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,38,44,-0.784509,-1
45,"Values begin at the top, in the White House.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,9,45,0.282993,-1
46,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,21,46,0.0,-1
50,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,46,50,0.824869,-1
51,And Mr. Bush is right - the two go hand in hand.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,12,51,0.0,-1
52,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,78,52,-0.395577,-1
