Sentence_id,Text,Speaker,Speaker_title,Speaker_party,File_id,Length,Line_number,Sentiment,Verdict
26,"You know, I saw a movie - ""Crocodile Dundee.""",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,9,26,0.0,0
80,We're consuming 50 percent of the world's cocaine.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,8,80,-0.740979,1
129,That answer was about as clear as Boston harbor.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,9,129,0.0,-1
131,Let me help the governor.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,5,131,0.212987,-1
172,We've run up more debt in the last eight years than under all the presidents from George Washington to Jimmy Carter combined.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,22,172,-0.268506,1
202,"I was in Houston on Tuesday meeting with a group of good citizens, working citizens.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,15,202,0.0,0
219,"The last time the Vice President used that phrase, I suspect he remembers it, don't you?",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,16,219,-0.624865,-1
228,I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,59,228,0.59505,1
384,This isn't a question of a little charity for the homeless.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,11,384,-0.750847,-1
411,Go out and take a look at St. Louis at some of that effort.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,14,411,0.469989,-1
432,I don't think it's a good thing.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,7,432,0.0,-1
543,"The federal government spends seven percent of the total on education, and the rest of the state governments and local governments and the thousand points of lightened I'm talking about private schools and private church schools and things of this nature--are putting up 93 percent.",George Bush,Vice President,REPUBLICAN,1988-09-25.txt,45,543,0.0,1
591,But I'll tell you what I was thinking of.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,9,591,0.0,-1
611,I'm simply not going to do that.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,7,611,-0.672886,-1
726,He's got to get this thing more clear.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,8,726,0.409073,-1
750,"Yes, we should make every effort to try to help those hostages come home, but it can never be because we make concessions.",Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,23,750,0.0,-1
816,And I think it's important to understand what happened here.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,10,816,0.206263,-1
826,You cannot make concessions to terrorists.,Michael Dukakis,Governor,DEMOCRAT,1988-09-25.txt,6,826,-0.459685,-1
893,I had hoped this had been a little friendlier evening.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,10,893,-0.561847,-1
942,I don't want to go back to malaise and misery index.,George Bush,Vice President,REPUBLICAN,1988-09-25.txt,11,942,-0.857765,-1
1036,We can also have a- an end to the extremes.,Jimmy Carter,Governor,DEMOCRAT,1976-10-22.txt,10,57,0.426085,-1
1037,"We now have one extreme for instance, of some welfare recipients, who by taking advantage of the welfare laws, the housing laws, the uh - Medicaid uh - laws, and the uh - food stamp laws, make over $10 thousand a year and uh - they don't have to pay any taxes on it.",Jimmy Carter,Governor,DEMOCRAT,1976-10-22.txt,54,58,-0.791836,1
1116,I don't believe it will happen.,Jimmy Carter,Governor,DEMOCRAT,1976-10-22.txt,6,137,-0.521862,-1
1128,"But no president of the United States, in my opinion, should signal in advance to a prospective enemy, what his uhh - decision might be or what option he might exercise.",Gerald R. Ford,President,REPUBLICAN,1976-10-22.txt,31,149,-0.562661,-1
